FILIAL,UF_FILIAL,PRODUTO,DESCRICAO,ARMAZEM,QUANTIDADE
110102,JDI,200103496,LIVRO DA PASTORAL,01,48.0
110104,FOR,200103496,LIVRO DA PASTORAL,01,31.0
110102,JDI,200104881,25 LV ALUNO DAS LINHAS AS LETRAS,01,50.0
110102,JDI,200104882,25 LV PROFESSOR DAS LINHAS AS LETRAS,01,17.0
110102,JDI,200705480,"EMPREEND 6O ANO AL VOL1 EU, EMPREENDEDOR",01,1147.0
110104,FOR,200705480,"EMPREEND 6O ANO AL VOL1 EU, EMPREENDEDOR",01,746.0
110102,JDI,200705481,EDUC FIN 6O ANO AL VOL1 PLANEJAMENTO FINANCEIRO,01,1192.0
110104,FOR,200705481,EDUC FIN 6O ANO AL VOL1 PLANEJAMENTO FINANCEIRO,01,894.0
110102,JDI,200705484,"EMPREEND 6O ANO PROF VOL1 EU, EMPREENDEDOR",01,133.0
110104,FOR,200705484,"EMPREEND 6O ANO PROF VOL1 EU, EMPREENDEDOR",01,78.0
110102,JDI,200705485,EDUC FIN 6O ANO PROF VOL1 PLANEJAMENTO FINANCEIRO,01,131.0
110104,FOR,200705485,EDUC FIN 6O ANO PROF VOL1 PLANEJAMENTO FINANCEIRO,01,86.0
110102,JDI,200705488,"EMPREEND 7O ANO AL VOL1 EU, EMPREENDEDOR",01,1049.0
110104,FOR,200705488,"EMPREEND 7O ANO AL VOL1 EU, EMPREENDEDOR",01,678.0
110102,JDI,200705489,EDUC FIN 7O ANO AL VOL1 PLANEJAMENTO FINANCEIRO,01,1307.0
110104,FOR,200705489,EDUC FIN 7O ANO AL VOL1 PLANEJAMENTO FINANCEIRO,01,955.0
110102,JDI,200705492,"EMPREEND 7O ANO PROF VOL1 EU, EMPREENDEDOR",01,133.0
110104,FOR,200705492,"EMPREEND 7O ANO PROF VOL1 EU, EMPREENDEDOR",01,49.0
110102,JDI,200705493,EDUC FIN 7O ANO PROF VOL1 PLANEJAMENTO FINANCEIRO,01,130.0
110104,FOR,200705493,EDUC FIN 7O ANO PROF VOL1 PLANEJAMENTO FINANCEIRO,01,68.0
110102,JDI,200705496,"EMPREEND 8O ANO AL VOL1 EU, EMPREENDEDOR",01,815.0
110104,FOR,200705496,"EMPREEND 8O ANO AL VOL1 EU, EMPREENDEDOR",01,779.0
110102,JDI,200705497,EDUC FIN 8O ANO AL VOL1 PLANEJAMENTO FINANCEIRO,01,1278.0
110104,FOR,200705497,EDUC FIN 8O ANO AL VOL1 PLANEJAMENTO FINANCEIRO,01,931.0
110102,JDI,200705502,"EMPREEND 8O ANO PROF VOL1 EU, EMPREENDEDOR",01,133.0
110104,FOR,200705502,"EMPREEND 8O ANO PROF VOL1 EU, EMPREENDEDOR",01,56.0
