cod_insersao;descricao;cod_kit;cod_sku;descricao_sku;segmento;serie;volume;usuario
PG26MA115DB00;26 MALETA ALUNO INF 1 ANO ANUAL DB;-;PG26MA115DB00;26 MALETA ALUNO INF 1 ANO ANUAL DB                                             ;INF;INF I;-;Aluno
PG26MA115SD00;26 MALETA ALUNO INF 1 ANO ANUAL SAE;-;PG26MA115SD00;26 MALETA ALUNO INF 1 ANO ANUAL SAE                                             ;INF;INF I;-;Aluno
PG26MA125DB00;26 MALETA ALUNO INF 2 ANOS ANUAL DB;-;PG26MA125DB00;26 MALETA ALUNO INF 2 ANOS ANUAL DB                                            ;INF;INF II;-;Aluno
PG26MA125SD00;26 MALETA ALUNO INF 2 ANOS ANUAL SAE;-;PG26MA125SD00;26 MALETA ALUNO INF 2 ANOS ANUAL SAE                                            ;INF;INF II;-;Aluno
PG26MA135DB00;26 MALETA ALUNO INF 3 ANOS ANUAL DB;-;PG26MA135DB00;26 MALETA ALUNO INF 3 ANOS ANUAL DB                                            ;INF;INF III;-;Aluno
PG26MA135SD00;26 MALETA ALUNO INF 3 ANOS ANUAL SAE;-;PG26MA135SD00;26 MALETA ALUNO INF 3 ANOS ANUAL SAE                                            ;INF;INF III;-;Aluno
PG26MA145DB00;26 MALETA ALUNO INF 4 ANOS ANUAL DB;-;PG26MA145DB00;26 MALETA ALUNO INF 4 ANOS ANUAL DB                                            ;INF;INF IV;-;Aluno
PG26MA145SD00;26 MALETA ALUNO INF 4 ANOS ANUAL SAE;-;PG26MA145SD00;26 MALETA ALUNO INF 4 ANOS ANUAL SAE                                            ;INF;INF IV;-;Aluno
PG26MA155DB00;26 MALETA ALUNO INF 5 ANOS ANUAL DB;-;PG26MA155DB00;26 MALETA ALUNO INF 5 ANOS ANUAL DB                                            ;INF;INF V;-;Aluno
PG26MA155SD00;26 MALETA ALUNO INF 5 ANOS ANUAL SAE;-;PG26MA155SD00;26 MALETA ALUNO INF 5 ANOS ANUAL SAE                                            ;INF;INF V;-;Aluno
PG22MP115SD00;22 BOLSA PROFESSOR INF 1 ANO ANUAL SAE;-;PG22MP115SD00;22 BOLSA PROFESSOR INF 1 ANO ANUAL SAE;INF;INF I;-;Professor
PG23MP115DB00;22 BOLSA PROFESSOR INF 1 ANO ANUAL SAE;-;PG23MP115DB00;23 BOLSA PROFESSOR INF 1 ANO ANUAL DB;INF;INF I;-;Professor
PG22MP125SD00;22 BOLSA PROFESSOR INF 2 ANOS ANUAL SAE;-;PG22MP125SD00;22 BOLSA PROFESSOR INF 2 ANOS ANUAL SAE;INF;INF II;-;Professor
